NAME,Gender,COUNTRY,Age,Major teams,Batting style,Bowling style,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,group
Natalee Scripps,1,New Zealand,41.0,"['Auckland Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,7.0,3.0,3.0,12.0,0.0,29.0,41.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,302.0,206.0,6.0,34.33,4.09,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Amy Satterthwaite,1,New Zealand,33.0,"['Canterbury Women,', 'New Zealand Women']",Left-hand bat,Right-arm offbreak,119.0,113.0,15.0,3821.0,38.98,5070.0,75.36,6.0,21.0,99.0,89.0,17.0,1526.0,21.19,1599.0,95.43,0.0,1.0,119.0,56.0,1704.0,1267.0,43.0,29.46,4.46,39.6,1.0,0.0,99.0,31.0,448.0,528.0,24.0,22.0,7.07,18.6,1.0,1.0,44
Munokoa Tunupopo,1,New Zealand,35.0,"['Auckland Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,108.0,57.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Sarah Tsukigawa,1,New Zealand,37.0,"['New Zealand Women,', 'Otago Women']",Right-hand bat,Right-arm medium,42.0,39.0,6.0,730.0,22.12,1046.0,69.78,0.0,2.0,19.0,16.0,2.0,129.0,9.21,150.0,86.0,0.0,0.0,42.0,37.0,1535.0,1121.0,35.0,32.02,4.38,43.8,1.0,0.0,19.0,9.0,150.0,170.0,5.0,34.0,6.8,30.0,0.0,0.0,8
Donna Trow,1,New Zealand,42.0,"['Central Districts Women,', 'New Zealand Women,', 'Northern Districts Women']",Right-hand bat,Right-arm medium,2.0,1.0,1.0,1.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,72.0,18.0,4.0,4.5,1.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Kerry-Anne Tomlinson,1,New Zealand,29.0,"['Netherlands Women,', 'Northern Districts Women,', 'Wellington Women']",Right-hand bat,Legbreak,4.0,4.0,0.0,77.0,19.25,255.0,30.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,191.0,165.0,2.0,82.5,5.18,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Haidee Tiffen,1,New Zealand,40.0,"['Canterbury Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,117.0,111.0,16.0,2919.0,30.72,4925.0,59.26,1.0,18.0,9.0,8.0,1.0,121.0,17.28,113.0,107.07,0.0,0.0,117.0,44.0,1656.0,955.0,49.0,19.48,3.46,33.7,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Lea Tahuhu,1,New Zealand,29.0,"['Canterbury Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium-fast,66.0,39.0,12.0,220.0,8.14,325.0,67.69,0.0,0.0,50.0,14.0,6.0,55.0,6.87,66.0,83.33,0.0,0.0,66.0,65.0,3028.0,2187.0,70.0,31.24,4.33,43.2,2.0,0.0,50.0,49.0,933.0,918.0,44.0,20.86,5.9,21.2,0.0,0.0,32
Aimee Watkins,1,New Zealand,37.0,"['Central Districts Women,', 'New Zealand Women']",Left-hand bat,Right-arm offbreak,103.0,94.0,7.0,1889.0,21.71,2443.0,77.32,2.0,6.0,36.0,36.0,3.0,772.0,23.39,663.0,116.44,0.0,3.0,103.0,99.0,4392.0,2856.0,92.0,31.04,3.9,47.7,5.0,0.0,36.0,27.0,507.0,519.0,22.0,23.59,6.14,23.0,0.0,0.0,5
Jess Watkin,1,New Zealand,21.0,"['Central Districts Women,', 'New Zealand Women']",Right-hand bat,Right-arm offbreak,6.0,5.0,0.0,86.0,17.2,97.0,88.65,0.0,1.0,9.0,8.0,1.0,118.0,16.85,75.0,157.33,0.0,1.0,6.0,5.0,177.0,113.0,6.0,18.83,3.83,29.5,0.0,0.0,9.0,7.0,123.0,132.0,7.0,18.85,6.43,17.5,0.0,0.0,8
